Internal Table	Column Name	Data Element Description	Notes
mod_agreements.erm_resource	res_subtype_fk	ID of reference data value (mod_agreements.refdata_value.rdv_id) for the subtype of resource	"Common values include ""electronic"" or ""print""."
mod_agreements.package	id	ID of package	The ID of the package will appear in the erm_resource table for the erm_resource record associated with the package
mod_agreements.package	pkg_vendor_id	ID of the package provider organisation (in mod_agreements.orgs)	Despite the column name, this is for the provider of the package NOT the vendor of the package
mod_agreements.package	pkg_source	String describing the source of the package data	
mod_agreements.package	pkg_remote_kb	ID of the remote knowledgebase from which the package data was obtained (in mod_agreements.remotekb)	
mod_agreements.package	pkg_reference	ID or reference for the package in an external system	
mod_agreements.package_content_item	id	ID of the package content item	The ID of the package_content_item will appear in the erm_resource table for the erm_resource record associated with the package_content_item
mod_agreements.package_content_item	pci_pti_fk	ID of the platform_title_instance that the package_content_item is linked to	
mod_agreements.package_content_item	pci_pkg_fk	ID of the package that the package_content_item belongs to	
mod_agreements.package_content_item	pci_access_start	The date on which a package_content_item was first accessible in a package	If `null` then it is assumed that the package_content_item was accessible in the package at the earliest possible data
mod_agreements.package_content_item	pci_access_end	The date on which a package_content_item was last accessible in a package	If `null` then it is assumed that the package_content_item is still accessible in the package at the current date
mod_agreements.platform_title_instance	id	ID of the platform_title_instance	The ID of the platform_title_instance will appear in the erm_resource table for the erm_resource record associated with the platform_title_instance
mod_agreements.platform_title_instance	pti_pt_fk	The ID of the platform that the platform_title_instance belongs to	
mod_agreements.platform_title_instance	pti_ti_fk	The ID of the title_instance to which the platform_title_instance is linked	
mod_agreements.platform_title_instance	pti_url	The URL of the platform_title_instance	This is the URL where the relevant resource content can be accessed
mod_agreements.platform	pt_id	UUID of Platform	
mod_agreements.platform	pt_name	Name/label of the platform	
mod_agreements.title_instance	id	ID of the title_instance	The ID of the title_instance will appear in the erm_resource table for the erm_resource record associated with the title_instance
mod_agreements.title_instance	ti_work_fk	The ID of the work to which the title_instance is linked	
mod_agreements.title_instance	ti_date_monograph_published	For monographs (books), the date the monograph was first published in the media specified by the linked erm_resource subtype (typically “print” or “electronic”)	Equivalent to the KBART Phase II (NISO RP-9-2014) properties date_monograph_published_print and date_monograph_published_online (see https://groups.niso.org/apps/group_public/download.php/16900/RP-9-2014_KBART.pdf)
mod_agreements.title_instance	ti_first_author	For monographs (books), the last name of the book’s first author.	Equivalent to the KBART Phase II (NISO RP-9-2014) properties first_author (see https://groups.niso.org/apps/group_public/download.php/16900/RP-9-2014_KBART.pdf)
mod_agreements.title_instance	ti_monograph_edition	For monographs (books), edition of the book.	Equivalent to the KBART Phase II (NISO RP-9-2014) properties monograph_edition (see https://groups.niso.org/apps/group_public/download.php/16900/RP-9-2014_KBART.pdf)
mod_agreements.title_instance	ti_monograph_volume	For monographs (books), the volume number of the book	Equivalent to the KBART Phase II (NISO RP-9-2014) properties monograph_volume (see https://groups.niso.org/apps/group_public/download.php/16900/RP-9-2014_KBART.pdf)
mod_agreements.title_instance	ti_first_editor	For monographs (books), the last name of the book’s first editor.	Equivalent to the KBART Phase II (NISO RP-9-2014) properties first_editor (see https://groups.niso.org/apps/group_public/download.php/16900/RP-9-2014_KBART.pdf)
mod_agreements.work	w_id	UUID of Work	
mod_agreements.work	w_title	Title of the work	
mod_agreements.identifier_occurrence	io_id	UUID of identifier occurrence	
mod_agreements.identifier_occurrence	io_ti_fk	ID of title_instance which is linked to the identifier	
mod_agreements.identifier_occurrence	io_status	ID of reference data value (mod_agreements.refdata_value.rdv_id) which describes the status of the identifier occurrence	In the current implementation this is always “approved” and not used for any functionality
mod_agreements.identifier_occurrence	io_identifier_fk	ID of the identifier which is ‘occurring’ against a title_instance	
erm_agreements_identifier	id_id	UUID of identifier	
erm_agreements_identifier	id_ns_fk	ID of identifier namespace	
erm_agreements_identifier	id_value	Value of the identifier (i.e. the identifier string)	
mod_agreements.identifier_namespace	idns_id	UUID of identifier_namespace	
mod_agreements.identifier_namespace	idns_value	Value of the namespace (i.e. the namespace name as a string)	e.g. ISSN
mod_agreements.coverage_statement	cs_id	UUID for coverage_statement	
mod_agreements.coverage_statement	cs_start_issue	Earliest issue of the resource available as part of this coverage	
mod_agreements.coverage_statement	cs_end_issue	Latest issue of the resource available as part of this coverage	
mod_agreements.coverage_statement	cs_start_volume	Earliest volume of the resource available as part of this coverage	
mod_agreements.coverage_statement	cs_end_volume	Latest volume of the resource available as part of this coverage	
mod_agreements.coverage_statement	cs_resource_fk	The ID of the erm_resource to which this coverage_statement applies	
mod_agreements.coverage_statement	cs_start_date	Earliest date of publication of material from the resource available as part of this coverage	Note that this relates to the original publication date of available the material, not the date it is made available to the institution.
mod_agreements.coverage_statement	cs_end_date	Latest date of publication of material from resource available as part of this coverage	Note that this relates to the original publication date of available the material, not the date it is made available to the institution.
mod_agreements.holdings_coverage	co_id	UUID for holdings_coverage	
mod_agreements.holdings_coverage	co_start_issue	Earliest issue of the resource linked to the entitlement available as part of this coverage	
mod_agreements.holdings_coverage	co_end_issue	Latest issue of the resource linked to the entitlement available as part of this coverage	
mod_agreements.holdings_coverage	co_start_volume	Earliest volume of the resource linked to the entitlement available as part of this coverage	
mod_agreements.holdings_coverage	co_end_volume	Latest volume of the resource linked to the entitlement available as part of this coverage	
mod_agreements.holdings_coverage	co_ent_fk	The ID of the entitlement to which this holdings_coverage applies	
mod_agreements.holdings_coverage	co_start_date	Earliest date of publication of material from the resource linked to the entitlement available as part of this coverage	Note that this relates to the original publication date of available the material, not the date it is made available to the institution.
mod_agreements.holdings_coverage	co_end_date	Latest date of publication of material from resource linked to the entitlemente available as part of this coverage	Note that this relates to the original publication date of available the material, not the date it is made available to the institution.
mod_agreements.refdata_value	rdv_id	ID for the refdata value	
mod_agreements.refdata_value	rdv_value	A string value which is used to identify the refdata value	The rdv_value stays constant whereas the rdv_label can be changed, so when building filters etc. for a specific reference data value, it is better to use the rdv_value rather than the rdv_label
mod_agreements.refdata_value	rdv_owner	ID of the refdata category (mod_agreements.refdata_category.rdc_id) to which the rdv_value belongs	
mod_agreements.refdata_value	rdv_label	A string label for the rdv_value	This is the value usually displayed to users in the Folio UI
mod_agreements.refdata_category	rdc_id	ID for the refdata category	
mod_agreements.refdata_category	rdc_description	Text string identifying the refdata category	This string is used to describe the context in which values from the refdata category can be used
mod_agreements.refdata_category	internal	"Boolean flag indicating if the refdata category is an ""internal"" category or not"	"The list Refdata values (mod_agreements.refdata_value) belonging to an ""internal"" category cannot be modified via the UI except for their labels. This is used to ensure that refdata values that are required for system functionality are not edited (beyond the label) or removed."
